Record Date,Record Type,Location,Property Type,Price,Price/sqft,Built-up Area,Plot Area,Beds,Has Maid Room,Has Study Room,Floor Level,Views,Has Balcony,Developer,Comments,URL
2023-04-27,Secondary Transaction,"Montrell, Al Furjan",Apartment,422018.79,1034,408,0,Studio,False,False,2,,True,Azizi Developments,"Hotel Apartment, Unit-221",nan
2023-04-27,Secondary Transaction,"Montrell, Al Furjan",Apartment,540152.9,790,683,0,1 Bed,False,False,5,,True,Azizi Developments,"Hotel Apartment, Unit-528",nan
2023-04-27,Secondary Transaction,"Montrell, Al Furjan",Apartment,432899.57,1033,419,0,Studio,False,False,1,,True,Azizi Developments,"Hotel Apartment, Unit-117",nan
2023-04-27,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,397440.0,1027,387,0,Studio,False,False,8,,True,Azizi Developments,"Hotel Apartment, Unit-805",nan
2023-04-27,Secondary Transaction,"Farishta, Azizi Residence, Al Furjan",Apartment,826500.0,938,881,0,1 Bed,False,False,5,,True,Azizi Developments,Unit-520,nan
2023-04-27,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,472310.0,1021,463,0,Studio,False,False,1,,True,Azizi Developments,"Hotel Apartment, Unit-112",nan
2023-04-27,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,431200.0,1124,384,0,Studio,False,False,5,,True,Azizi Developments,"Hotel Apartment, Unit-521",nan
2023-04-26,Secondary Transaction,"Victoria Residency, Al Furjan",Apartment,620000.0,794,781,0,1 Bed,False,False,5,,True,CPL Real Estate,Unit-511,nan
2023-04-26,Secondary Transaction,"Candace Acacia, Azizi Residence, Al Furjan",Apartment,450000.0,1194,377,0,Studio,False,False,5,,True,Azizi Developments,"Hotel Apartment, Unit-523",nan
2023-04-25,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,988459.0,1279,773,0,1 Bed,False,False,,,False,,,nan
2023-04-25,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,455250.0,1055,432,0,Studio,False,False,11,,True,Azizi Developments,"Hotel Apartment, Unit-1129",nan
