Transaction Type,Subtype,Sales Sequence,No,Date,Community,Property,Property Type,Unit,Bedrooms,Floor,Parking,Balcony Area,Size (Sqf),Land Size,Amount (AED),AED/Sqf,Developer
Sales - Ready,Sale,Primary,11-7577-2022,11-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5402,1 B/R,54,B2-351,,626.25,,2188400.0,3494.45,Al Ain Properties
Sales - Ready,Sale,Primary,11-7568-2022,11-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6002,1 B/R,60,B2-279,,628.83,,2500000.0,3975.62,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-6179-2022,06-04-2022,Dubai Marina,Damac Heights,Apartment,7502,4 B/R,75,"P2-65 , P2-T3",,1956.25,,2918000.0,1491.63,Damac Properties
Sales - Ready,Sale,Primary,11-7140-2022,06-04-2022,Dubai Marina,LIV Residence,Apartment,1201,1 B/R,12,B2-P15,48.87,805.69,,1675548.0,2079.66,LIV Real Estate Development
Sales - Ready,Sale,Primary,11-7125-2022,05-04-2022,Dubai Marina,La Riviera Tower,Apartment,1102,3 B/R,11,B1-15,73.95,1824.07,,1638000.0,897.99,B&M Riviera Developments
Sales - Ready,Delayed Sell,Primary,41-5842-2022,01-04-2022,Dubai Marina,Damac Heights,Apartment,3407,2 B/R,34,B2-56,268.35,1882.09,,2414330.0,1282.8,Damac Properties
Sales - Ready,Delayed Sell,Primary,41-5731-2022,31-03-2022,Dubai Marina,52-42 Tower 1,Apartment,1605,2 B/R,16,3F-056,107.64,1134.85,,2095594.0,1846.58,Emaar Properties PJSC
Sales - Ready,Delayed Sell,Primary,41-5790-2022,31-03-2022,Dubai Marina,Marina Arcade Tower,Apartment,2501,1 B/R,,1F-55,42.84,801.49,,1260000.0,1572.08,Marina Arcade Real Estate LLC
Sales - Ready,Sale,Primary,11-6382-2022,29-03-2022,Dubai Marina,Opal Marina Tower,Apartment,1501,2 B/R,15,B2-73,234.98,1546.14,,1380800.0,893.06,Mismak Properties
Sales - Ready,Sale,Primary,11-6383-2022,29-03-2022,Dubai Marina,Opal Marina Tower,Apartment,1502,2 B/R,15,B2-74,234.98,1546.14,,1380800.0,893.06,Mismak Properties
